title,icon,item
Individual ITR-1 Filing,📄,Form 16 from all employers for the financial year
Individual ITR-1 Filing,📄,Bank interest certificate & savings ledger statement
Individual ITR-1 Filing,📄,Investment receipts under Section 80C (PPF, LIC, ELSS)
Individual ITR-1 Filing,📄,Home loan interest certificate (Form 12BB)
Individual ITR-1 Filing,📄,Aadhaar card & PAN card linkage confirmation
Individual ITR-1 Filing,📄,Form 26AS & Annual Information Statement (AIS) review
GST Registration Process,🏢,PAN card copy of the business entity or proprietor
GST Registration Process,🏢,Aadhaar card of primary partners or proprietor
GST Registration Process,🏢,Registered office lease agreement or property tax receipt
GST Registration Process,🏢,Cancelled cheque or bank statement with IFSC code
GST Registration Process,🏢,Digital Signature Certificate (DSC) / EVC authorization
GST Registration Process,🏢,NOC from property owner (if rented office premises)
Private Limited Setup,🏛️,PAN & Aadhaar of all proposed directors
Private Limited Setup,🏛️,Proof of identity (Voter ID, Passport, or Driving License)
Private Limited Setup,🏛️,Electricity bill or gas utility bill of registered office address
Private Limited Setup,🏛️,Draft Memorandum (MOA) and Articles of Association (AOA)
Private Limited Setup,🏛️,DSC (Digital Signature Certificate) for directors
Private Limited Setup,🏛️,DIR-2 consent form & declaration of non-acceptance of deposits
Statutory Corporate Audit,📋,Final Trial Balance & general ledger accounts dump
Statutory Corporate Audit,📋,Bank Reconciliation Statement (BRS) for all bank entries
Statutory Corporate Audit,📋,Fixed Asset Register (FAR) detailing year depreciation rates
Statutory Corporate Audit,📋,Form 3CD tax audit particulars compilation draft
Statutory Corporate Audit,📋,Board meeting minutes approving draft financial statement schedules
Statutory Corporate Audit,📋,Creditors & Debtors balance confirmation certificates
